ID	Top_Discriminant	Discriminant	Category Lv3	Date	Amount	Num Trans
141	Essentials	Everything Else	i. Medical Consultations	1/1/2014	1414.05	11
142	Essentials	Everything Else	i. Medical Consultations	4/1/2014	717.25	8
143	Essentials	Everything Else	i. Medical Consultations	7/1/2014	598.7	7
144	Essentials	Everything Else	i. Medical Consultations	10/1/2014	3783.95	15
145	Essentials	Everything Else	i. Medical Consultations	1/1/2015	1840.35	5
146	Essentials	Everything Else	i. Medical Consultations	4/1/2015	375.85	4
147	Essentials	Everything Else	i. Opticians	4/1/2010	428.64	4
150	Essentials	Everything Else	i. Opticians	1/1/2011	87.08	1
151	Essentials	Everything Else	i. Opticians	4/1/2011	476.66	1
152	Essentials	Everything Else	i. Opticians	7/1/2011	362.9	2
155	Essentials	Everything Else	i. Opticians	4/1/2012	48.07	2
157	Essentials	Everything Else	i. Opticians	10/1/2012	306.38	1
158	Essentials	Everything Else	i. Opticians	1/1/2013	690	4
160	Essentials	Everything Else	i. Opticians	7/1/2013	16.4	1
161	Essentials	Everything Else	i. Opticians	10/1/2013	127.8	2
162	Essentials	Everything Else	i. Opticians	1/1/2014	244.45	3
164	Essentials	Everything Else	i. Opticians	7/1/2014	794.05	1
165	Essentials	Everything Else	i. Opticians	10/1/2014	180	1
166	Essentials	Everything Else	i. Opticians	1/1/2015	16.4	1
167	Essentials	Insurances	g. Health Insurance	1/1/2010	509.74	2
168	Essentials	Insurances	g. Health Insurance	4/1/2010	481.58	4
169	Essentials	Insurances	g. Health Insurance	7/1/2010	836.58	3
170	Essentials	Insurances	g. Health Insurance	10/1/2010	836.58	3
171	Essentials	Insurances	g. Health Insurance	1/1/2011	836.58	3
172	Essentials	Insurances	g. Health Insurance	4/1/2011	970.47	3
173	Essentials	Insurances	g. Health Insurance	7/1/2011	970.47	3
174	Essentials	Insurances	g. Health Insurance	10/1/2011	970.47	3
175	Essentials	Insurances	g. Health Insurance	1/1/2012	970.47	3
176	Essentials	Insurances	g. Health Insurance	4/1/2012	4869.5	4
180	Essentials	Insurances	g. Health Insurance	4/1/2013	397.22	1
181	Essentials	Insurances	g. Health Insurance	7/1/2013	397.22	1
182	Essentials	Insurances	g. Health Insurance	10/1/2013	1588.88	4
183	Essentials	Insurances	g. Health Insurance	1/1/2014	794.44	2
184	Essentials	Insurances	g. Health Insurance	4/1/2014	1302.81	3
185	Essentials	Insurances	g. Health Insurance	7/1/2014	1302.81	3
186	Essentials	Insurances	g. Health Insurance	10/1/2014	868.54	2
187	Essentials	Insurances	g. Health Insurance	1/1/2015	1302.81	3
188	Essentials	Insurances	g. Health Insurance	4/1/2015	930.62	3
189	Essentials	Insurances	g. House Insurance	1/1/2010	95.32	2
190	Essentials	Insurances	g. House Insurance	4/1/2010	142.98	3
191	Essentials	Insurances	g. House Insurance	7/1/2010	144.88	3
192	Essentials	Insurances	g. House Insurance	10/1/2010	148.68	3
193	Essentials	Insurances	g. House Insurance	1/1/2011	148.68	3
194	Essentials	Insurances	g. House Insurance	4/1/2011	609.68	4
195	Essentials	Insurances	g. House Insurance	7/1/2011	99.12	2
199	Essentials	Insurances	g. House Insurance	7/1/2012	576.52	1
203	Essentials	Insurances	g. House Insurance	7/1/2013	647.92	1
204	Essentials	Insurances	g. Life Insurance	1/1/2010	663.42	6
205	Essentials	Insurances	g. Life Insurance	4/1/2010	663.42	6
206	Essentials	Insurances	g. Life Insurance	7/1/2010	663.42	6
207	Essentials	Insurances	g. Life Insurance	10/1/2010	698.28	6
208	Essentials	Insurances	g. Life Insurance	1/1/2011	715.71	6
209	Essentials	Insurances	g. Life Insurance	4/1/2011	715.71	6
210	Essentials	Insurances	g. Life Insurance	7/1/2011	715.71	6
211	Essentials	Insurances	g. Life Insurance	10/1/2011	770.99	6
212	Essentials	Insurances	g. Life Insurance	1/1/2012	532.42	4
213	Essentials	Insurances	g. Life Insurance	4/1/2012	798.63	6
214	Essentials	Insurances	g. Life Insurance	7/1/2012	532.42	4
215	Essentials	Insurances	g. Life Insurance	10/1/2012	1120.7	8
216	Essentials	Insurances	g. Life Insurance	1/1/2013	588.28	4
217	Essentials	Insurances	g. Life Insurance	4/1/2013	882.42	6
218	Essentials	Insurances	g. Life Insurance	7/1/2013	882.42	6
219	Essentials	Insurances	g. Life Insurance	10/1/2013	1240.53	8
220	Essentials	Insurances	g. Life Insurance	1/1/2014	983.67	6
221	Essentials	Insurances	g. Life Insurance	4/1/2014	655.78	4
222	Essentials	Insurances	g. Life Insurance	7/1/2014	1249.76	7
223	Essentials	Insurances	g. Life Insurance	10/1/2014	1110.25	7
224	Essentials	Insurances	g. Life Insurance	1/1/2015	1080.84	6
225	Essentials	Insurances	g. Life Insurance	4/1/2015	720.56	4
226	Essentials	Utilities Group	g. Utilities - Electric	1/1/2011	92	1
227	Essentials	Utilities Group	g. Utilities - Electric	4/1/2011	184	2
228	Essentials	Utilities Group	g. Utilities - Electric	7/1/2011	276	3
229	Essentials	Utilities Group	g. Utilities - Electric	10/1/2011	339	3
230	Essentials	Utilities Group	g. Utilities - Electric	1/1/2012	465	3
231	Essentials	Utilities Group	g. Utilities - Electric	4/1/2012	310	2
232	Essentials	Utilities Group	g. Utilities - Electric	7/1/2012	490	3
233	Essentials	Utilities Group	g. Utilities - Electric	10/1/2012	705.61	2
234	Essentials	Utilities Group	g. Utilities - Electric	1/1/2013	385.88	1
235	Essentials	Utilities Group	g. Utilities - Electric	4/1/2013	470.26	2
236	Essentials	Utilities Group	g. Utilities - Electric	7/1/2013	914.08	2
237	Essentials	Utilities Group	g. Utilities - Electric	10/1/2013	611.03	1
241	Essentials	Utilities Group	g. Utilities - Electric	10/1/2014	722.31	1
242	Essentials	Utilities Group	g. Utilities - Electric	1/1/2015	380.73	1
243	Essentials	Utilities Group	g. Utilities - Electric	4/1/2015	199.72	1
244	Essentials	Utilities Group	g. Utilities - Gas	1/1/2011	51	1
245	Essentials	Utilities Group	g. Utilities - Gas	4/1/2011	102	2
246	Essentials	Utilities Group	g. Utilities - Gas	7/1/2011	153	3
247	Essentials	Utilities Group	g. Utilities - Gas	10/1/2011	142	3
248	Essentials	Utilities Group	g. Utilities - Gas	1/1/2012	120	3
249	Essentials	Utilities Group	g. Utilities - Gas	4/1/2012	80	2
250	Essentials	Utilities Group	g. Utilities - Gas	7/1/2012	146	3
251	Essentials	Utilities Group	g. Utilities - Gas	10/1/2012	274.91	2
256	Essentials	Utilities Group	g. Utilities - Gas	1/1/2014	452.66	1
257	Essentials	Utilities Group	g. Utilities - Gas	4/1/2014	397.5	1
258	Essentials	Utilities Group	g. Utilities - Gas	7/1/2014	825.61	2
259	Essentials	Utilities Group	g. Utilities - Gas	10/1/2014	468.63	1
260	Essentials	Utilities Group	g. Utilities - Gas	1/1/2015	183.1	1
261	Essentials	Utilities Group	g. Utilities - Gas	4/1/2015	199.72	1
262	Essentials	Utilities Group	h. Utilities - Water	1/1/2010	174.85	1
263	Essentials	Utilities Group	h. Utilities - Water	4/1/2010	208.6	1
264	Essentials	Utilities Group	h. Utilities - Water	7/1/2010	202.2	1
265	Essentials	Utilities Group	h. Utilities - Water	10/1/2010	204.85	1
266	Essentials	Utilities Group	h. Utilities - Water	1/1/2011	226.95	1
267	Essentials	Utilities Group	h. Utilities - Water	4/1/2011	222.95	1
268	Essentials	Utilities Group	h. Utilities - Water	7/1/2011	215.6	1
269	Essentials	Utilities Group	h. Utilities - Water	10/1/2011	232.05	1
270	Essentials	Utilities Group	h. Utilities - Water	1/1/2012	225.7	1
271	Essentials	Utilities Group	h. Utilities - Water	4/1/2012	229.95	1
272	Essentials	Utilities Group	h. Utilities - Water	7/1/2012	218.9	1
273	Essentials	Utilities Group	h. Utilities - Water	10/1/2012	232.15	1
274	Essentials	Utilities Group	h. Utilities - Water	1/1/2013	215.15	1
275	Essentials	Utilities Group	h. Utilities - Water	4/1/2013	234.3	1
276	Essentials	Utilities Group	h. Utilities - Water	7/1/2013	220.95	1
277	Essentials	Utilities Group	h. Utilities - Water	10/1/2013	269.35	1
278	Essentials	Utilities Group	h. Utilities - Water	1/1/2014	249.85	1
279	Essentials	Utilities Group	h. Utilities - Water	4/1/2014	256.35	1
280	Essentials	Utilities Group	h. Utilities - Water	7/1/2014	237.5	1
281	Essentials	Utilities Group	h. Utilities - Water	10/1/2014	247.95	1
282	Essentials	Utilities Group	h. Utilities - Water	1/1/2015	246.95	1
283	Essentials	Utilities Group	h. Utilities - Water	4/1/2015	21.35	1
284	Essentials	a Grocery_Costs	a. Supermarket & house products	1/1/2010	2129.37	20
285	Essentials	a Grocery_Costs	a. Supermarket & house products	4/1/2010	2831.47	33
286	Essentials	a Grocery_Costs	a. Supermarket & house products	7/1/2010	2769.78	35
287	Essentials	a Grocery_Costs	a. Supermarket & house products	10/1/2010	4342.18	35
288	Essentials	a Grocery_Costs	a. Supermarket & house products	1/1/2011	2559.25	28
289	Essentials	a Grocery_Costs	a. Supermarket & house products	4/1/2011	3195.22	42
290	Essentials	a Grocery_Costs	a. Supermarket & house products	7/1/2011	3057.56	24
291	Essentials	a Grocery_Costs	a. Supermarket & house products	10/1/2011	3556.44	32
292	Essentials	a Grocery_Costs	a. Supermarket & house products	1/1/2012	2994.98	36
293	Essentials	a Grocery_Costs	a. Supermarket & house products	4/1/2012	3104.31	26
294	Essentials	a Grocery_Costs	a. Supermarket & house products	7/1/2012	3592.88	38
295	Essentials	a Grocery_Costs	a. Supermarket & house products	10/1/2012	2331.78	29
296	Essentials	a Grocery_Costs	a. Supermarket & house products	1/1/2013	3371.99	31
297	Essentials	a Grocery_Costs	a. Supermarket & house products	4/1/2013	3154.32	39
298	Essentials	a Grocery_Costs	a. Supermarket & house products	7/1/2013	4152.68	46
299	Essentials	a Grocery_Costs	a. Supermarket & house products	10/1/2013	3185.79	45
300	Essentials	a Grocery_Costs	a. Supermarket & house products	1/1/2014	4788.82	42
301	Essentials	a Grocery_Costs	a. Supermarket & house products	4/1/2014	3275.64	37
302	Essentials	a Grocery_Costs	a. Supermarket & house products	7/1/2014	3570.44	34
303	Essentials	a Grocery_Costs	a. Supermarket & house products	10/1/2014	4457.85	44
304	Essentials	a Grocery_Costs	a. Supermarket & house products	1/1/2015	2564.96	56
305	Essentials	a Grocery_Costs	a. Supermarket & house products	4/1/2015	2783.87	48
306	Essentials	d Car_Expenses	d. Car expenses: Parking	1/1/2010	134.64	14
307	Essentials	d Car_Expenses	d. Car expenses: Parking	4/1/2010	80.7	10
308	Essentials	d Car_Expenses	d. Car expenses: Parking	7/1/2010	75.3	4
309	Essentials	d Car_Expenses	d. Car expenses: Parking	10/1/2010	122.4	12
310	Essentials	d Car_Expenses	d. Car expenses: Parking	1/1/2011	166	18
311	Essentials	d Car_Expenses	d. Car expenses: Parking	4/1/2011	51.8	5
312	Essentials	d Car_Expenses	d. Car expenses: Parking	7/1/2011	5	1
313	Essentials	d Car_Expenses	d. Car expenses: Parking	10/1/2011	9.5	2
314	Essentials	d Car_Expenses	d. Car expenses: Parking	1/1/2012	92.5	8
315	Essentials	d Car_Expenses	d. Car expenses: Parking	4/1/2012	26.5	4
316	Essentials	d Car_Expenses	d. Car expenses: Parking	7/1/2012	31.7	7
317	Essentials	d Car_Expenses	d. Car expenses: Parking	10/1/2012	48	4
318	Essentials	d Car_Expenses	d. Car expenses: Parking	1/1/2013	31.1	4
319	Essentials	d Car_Expenses	d. Car expenses: Parking	4/1/2013	154	8
320	Essentials	d Car_Expenses	d. Car expenses: Parking	7/1/2013	38.67	2
321	Essentials	d Car_Expenses	d. Car expenses: Parking	10/1/2013	51.48	5
322	Essentials	d Car_Expenses	d. Car expenses: Parking	1/1/2014	63	7
323	Essentials	d Car_Expenses	d. Car expenses: Parking	4/1/2014	6.2	2
324	Essentials	d Car_Expenses	d. Car expenses: Parking	7/1/2014	107.42	5
325	Essentials	d Car_Expenses	d. Car expenses: Parking	10/1/2014	139.5	7
326	Essentials	d Car_Expenses	d. Car expenses: Parking	1/1/2015	3	1
327	Essentials	d Car_Expenses	d. Car expenses: Parking	4/1/2015	225.58	19
328	Essentials	d Car_Expenses	d. Car expenses: Petrol	1/1/2010	263.33	3
329	Essentials	d Car_Expenses	d. Car expenses: Petrol	4/1/2010	349.72	5
330	Essentials	d Car_Expenses	d. Car expenses: Petrol	7/1/2010	328.97	6
331	Essentials	d Car_Expenses	d. Car expenses: Petrol	10/1/2010	197.23	3
332	Essentials	d Car_Expenses	d. Car expenses: Petrol	1/1/2011	723.22	9
333	Essentials	d Car_Expenses	d. Car expenses: Petrol	4/1/2011	489.14	7
334	Essentials	d Car_Expenses	d. Car expenses: Petrol	7/1/2011	557.13	7
335	Essentials	d Car_Expenses	d. Car expenses: Petrol	10/1/2011	532.54	8
336	Essentials	d Car_Expenses	d. Car expenses: Petrol	1/1/2012	401.3	6
337	Essentials	d Car_Expenses	d. Car expenses: Petrol	4/1/2012	403.18	7
338	Essentials	d Car_Expenses	d. Car expenses: Petrol	7/1/2012	400.37	5
339	Essentials	d Car_Expenses	d. Car expenses: Petrol	10/1/2012	171.07	2
340	Essentials	d Car_Expenses	d. Car expenses: Petrol	1/1/2013	395.97	6
341	Essentials	d Car_Expenses	d. Car expenses: Petrol	4/1/2013	496.21	6
342	Essentials	d Car_Expenses	d. Car expenses: Petrol	7/1/2013	443.5	6
343	Essentials	d Car_Expenses	d. Car expenses: Petrol	10/1/2013	239.46	3
344	Essentials	d Car_Expenses	d. Car expenses: Petrol	1/1/2014	281.43	5
345	Essentials	d Car_Expenses	d. Car expenses: Petrol	4/1/2014	227.19	3
346	Essentials	d Car_Expenses	d. Car expenses: Petrol	7/1/2014	186.7	2
347	Essentials	d Car_Expenses	d. Car expenses: Petrol	10/1/2014	394.37	5
348	Essentials	d Car_Expenses	d. Car expenses: Petrol	1/1/2015	300.25	4
349	Essentials	d Car_Expenses	d. Car expenses: Petrol	4/1/2015	306.85	6
350	Essentials	d Car_Expenses	d. Car expenses: Tolls	4/1/2010	100	2
351	Essentials	d Car_Expenses	d. Car expenses: Tolls	7/1/2010	200	4
352	Essentials	d Car_Expenses	d. Car expenses: Tolls	10/1/2010	50	1
354	Essentials	d Car_Expenses	d. Car expenses: Tolls	4/1/2011	50	1
356	Essentials	d Car_Expenses	d. Car expenses: Tolls	10/1/2011	50	1
357	Essentials	d Car_Expenses	d. Car expenses: Tolls	1/1/2012	50	1
358	Essentials	d Car_Expenses	d. Car expenses: Tolls	4/1/2012	300	6
359	Essentials	d Car_Expenses	d. Car expenses: Tolls	7/1/2012	750	15
360	Essentials	d Car_Expenses	d. Car expenses: Tolls	10/1/2012	550	11
361	Essentials	d Car_Expenses	d. Car expenses: Tolls	1/1/2013	450	9
362	Essentials	d Car_Expenses	d. Car expenses: Tolls	4/1/2013	700	14
363	Essentials	d Car_Expenses	d. Car expenses: Tolls	7/1/2013	600	12
364	Essentials	d Car_Expenses	d. Car expenses: Tolls	10/1/2013	300	6
365	Essentials	d Car_Expenses	d. Car expenses: Tolls	1/1/2014	300	6
366	Essentials	d Car_Expenses	d. Car expenses: Tolls	4/1/2014	882.57	17
367	Essentials	d Car_Expenses	d. Car expenses: Tolls	7/1/2014	800	16
368	Essentials	d Car_Expenses	d. Car expenses: Tolls	10/1/2014	778.83	18
369	Essentials	d Car_Expenses	d. Car expenses: Tolls	1/1/2015	989.36	10
370	Essentials	d Car_Expenses	d. Car expenses: Tolls	4/1/2015	125	2
371	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	1/1/2010	207.16	2
372	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	4/1/2010	302.99	3
373	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	7/1/2010	287.49	3
374	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	10/1/2010	287.49	3
375	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	1/1/2011	287.49	3
376	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	4/1/2011	1227.2	3
380	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	4/1/2012	1726.92	3
384	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	4/1/2013	1491.44	3
388	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	4/1/2014	954.85	1
392	Essentials	d Car_Expenses	g. Car expenses: Car Insurance	4/1/2015	838.77	1
393	Essentials	d Car_Expenses	h. Car expenses: Fees	1/1/2010	253	1
394	Essentials	d Car_Expenses	h. Car expenses: Fees	4/1/2010	973	3
398	Essentials	d Car_Expenses	h. Car expenses: Fees	4/1/2011	446	1
406	Essentials	d Car_Expenses	h. Car expenses: Fees	4/1/2013	470	1
407	Essentials	d Car_Expenses	h. Car expenses: Fees	7/1/2013	24	1
408	Essentials	d Car_Expenses	h. Car expenses: Fees	10/1/2013	368	3
410	Essentials	d Car_Expenses	h. Car expenses: Fees	4/1/2014	1023.18	2
414	Essentials	d Car_Expenses	h. Car expenses: Fees	4/1/2015	1105.3	2
415	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	7/1/2010	711.05	1
416	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	10/1/2010	959	1
418	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	4/1/2011	651.66	1
420	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	10/1/2011	317.56	2
421	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	1/1/2012	89.98	2
422	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	4/1/2012	751.1	2
424	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	10/1/2012	216	1
426	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	4/1/2013	704.08	2
428	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	10/1/2013	375.24	2
429	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	1/1/2014	36.99	1
430	Essentials	d Car_Expenses	h. Car expenses: Repair & Maintenance	4/1/2014	970.9	1
